"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000162692",632.144951496753,-3.41083719931971,0.263886846986786,-12.9253778210875,3.23702589183124e-38,1.05203341484515e-34
"ENSG00000163083",649.871309997304,3.63324947276717,0.303013929531728,11.9903711304029,3.99112946335096e-33,6.4855853779453e-30
"ENSG00000143127",322.830580274002,4.25657558520793,0.377033132289292,11.2896592385995,1.47607821371467e-29,1.59908473152422e-26
"ENSG00000134243",7040.3224671768,2.22611374458443,0.199853306341272,11.1387386345417,8.12620954824995e-29,6.60254525795309e-26
"ENSG00000116285",3833.87289745161,2.33687584885262,0.213132196232732,10.9644431491751,5.66481926932581e-28,3.68213252506178e-25
"ENSG00000233929",553.548570955341,2.79209773846063,0.256233356724835,10.8966989081715,1.1951493842245e-27,6.47372583121605e-25
"ENSG00000162614",5638.76045380744,2.00144743369145,0.198534996315184,10.0810812745278,6.6984877744503e-24,3.11001218099478e-21
"ENSG00000135821",15705.1590860511,2.45803823191968,0.248042879537553,9.90973107755563,3.7766131949051e-23,1.5342491104302e-20
"ENSG00000253368",1044.21460838534,2.00554581929241,0.228790417686765,8.76586458283488,1.8534869919096e-18,6.69314747078468e-16
"ENSG00000123610",385.83173547458,-2.59411623832411,0.299981139939235,-8.64759777514538,5.2594833519494e-18,1.70933208938355e-15
"ENSG00000060718",469.05648652429,2.33949353647444,0.273563194981975,8.55193088612884,1.21046255231022e-17,3.57636663182564e-15
"ENSG00000162493",789.953301924959,1.93023612029671,0.23388858556993,8.25280171579642,1.54723648042388e-16,4.19043213448135e-14
"ENSG00000142871",6789.62176084148,1.91794117237337,0.249936511685781,7.67371345401748,1.67087116773053e-14,4.17717791932632e-12
"ENSG00000115457",3018.02446183949,1.99575714657182,0.266719811941253,7.48259805691302,7.28674867736581e-14,1.69156665724564e-11
"ENSG00000162772",467.121462227541,1.93317104496617,0.262925830469983,7.35253376022663,1.94484390169727e-13,4.21382845367742e-11
"ENSG00000241399",693.98015309102,1.73090109822786,0.237226753851049,7.29639920510257,2.95571083686104e-13,6.00378763737399e-11
"ENSG00000153904",4167.58893240527,1.50482275613667,0.206842747148499,7.27520194390141,3.45902608518746e-13,6.61284398638779e-11
"ENSG00000177606",2906.61702498977,-1.47850613719727,0.204014061109953,-7.24707958438427,4.25853768214947e-13,7.68902637054765e-11
"ENSG00000162616",1694.37492509784,1.53454688890227,0.212258955324404,7.22959785869556,4.84426336372491e-13,8.28623996426629e-11
"ENSG00000136546",4207.96878514473,1.45284722941353,0.20193066839298,7.19478245169836,6.25604323185225e-13,1.01660702517599e-10
"ENSG00000115419",4275.78002293291,1.43476128071179,0.200353786630289,7.16113882768458,8.00095706596816e-13,1.23824335544745e-10
"ENSG00000196517",238.086204372389,-2.27009675832161,0.323143218036868,-7.02504843552871,2.13992001297293e-12,3.16124547371001e-10
"ENSG00000143320",1607.67999890941,-1.71873437325956,0.245723143153496,-6.99459705423805,2.66022376187216e-12,3.75901183742806e-10
"ENSG00000243244",991.677120759032,1.51748265319233,0.227718167053963,6.66386293559409,2.66722231461095e-11,3.61186355103567e-09
"ENSG00000023909",2200.1186474112,1.38560629167462,0.209503836539172,6.61375139741439,3.74700806595735e-11,4.87111048574456e-09
"ENSG00000133216",378.312489605774,-1.861614839908,0.284494353410566,-6.54359152507125,6.00586997051235e-11,7.50733746314044e-09
"ENSG00000163171",1665.33910308969,1.39742963621398,0.214635309730213,6.51071642392154,7.47932228167355e-11,9.00288793164409e-09
"ENSG00000134686",2982.54156872367,1.32831580106904,0.205477576400888,6.464529241271,1.0161464734022e-10,1.17945572805612e-08
"ENSG00000092621",1200.76381377871,-1.4207348764829,0.221819816439295,-6.40490511302766,1.50462926728339e-10,1.68622245471415e-08
"ENSG00000163017",2290.30665842634,1.74689819480659,0.275776689448381,6.33446647829736,2.38163941251072e-10,2.58010936355328e-08
"ENSG00000233125",4962.40774070897,1.28161693209086,0.202995009109744,6.31353912449141,2.72725335881339e-10,2.85921723101404e-08
"ENSG00000239649",709.360537535186,1.6704952094991,0.268054227074436,6.23193011254108,4.6072302239273e-10,4.67921819617616e-08
"ENSG00000172260",1559.92916052289,1.54911501829893,0.257008122826748,6.02749438912951,1.66521030080146e-09,1.63997984169841e-07
"ENSG00000163431",5968.12318427289,1.18952281193057,0.197601635098293,6.0198024745031,1.74630040875043e-09,1.6692577436585e-07
"ENSG00000244020",137.041311338956,2.29169564121404,0.386790360291598,5.92490371137056,3.12480431393804e-09,2.90160400579961e-07
"ENSG00000213160",270.550484855819,1.86608446012674,0.316185763467567,5.90186110741243,3.59423700691527e-09,3.24479729790962e-07
"ENSG00000144369",1358.30608184154,-1.29645207680615,0.224348424244811,-5.77874384975154,7.52604051926137e-09,6.61071126691877e-07
"ENSG00000170989",284.27235969768,-1.72246310973348,0.300188447461788,-5.73793936541392,9.583541184481e-09,8.19644969725349e-07
"ENSG00000176771",99.3975365358436,-2.54325961162251,0.444708659957738,-5.71893430603355,1.0719422560698e-08,8.70953083056711e-07
"ENSG00000177614",142.843869983173,-2.20347475522127,0.38515286840453,-5.72103945207268,1.05874307032291e-08,8.70953083056711e-07
"ENSG00000174876",532.326201437431,1.41664193084466,0.251857298121625,5.6247801489578,1.8574438299742e-08,1.47236401156492e-06
"ENSG00000084090",4329.08087562699,1.27993533234576,0.232365392896736,5.5082872556438,3.62341793525572e-08,2.80383530704312e-06
"ENSG00000117461",309.962584389672,-1.59486649396842,0.290362778781256,-5.49266851854282,3.95905470332899e-08,2.99230878739982e-06
"ENSG00000162878",1550.90314928423,1.16635922446075,0.213814082917873,5.45501591169162,4.8968460357393e-08,3.61698854912562e-06
"ENSG00000196975",4713.98733443109,1.09298054407035,0.200636712672741,5.44756006769863,5.10654724083167e-08,3.68806189615621e-06
"ENSG00000237763",619.876889024015,1.30480225815558,0.241007676700809,5.41394480050271,6.16511788819493e-08,4.35578981231163e-06
